0	-0.0182581
0.01	-0.0343231
0.02	-0.0336522
0.03	-0.00909122
0.04	0.035312
0.05	0.0828223
0.06	0.115653
0.07	0.130238
0.08	0.141519
0.09	0.162716
0.1	0.182892
0.11	0.191829
0.12	0.175711
0.13	0.160847
0.14	0.154765
0.15	0.177319
0.16	0.212006
0.17	0.251185
0.18	0.271678
0.19	0.28283
0.2	0.294579
0.21	0.325665
0.22	0.365911
0.23	0.404869
0.24	0.425809
0.25	0.426769
0.26	0.439524
0.27	0.468861
0.28	0.494837
0.29	0.510431
0.3	0.524477
0.31	0.526735
0.32	0.518485
0.33	0.520475
0.34	0.554877
0.35	0.599295
0.36	0.640581
0.37	0.675578
0.38	0.709857
0.39	0.733291
0.4	0.754719
0.41	0.777872
0.42	0.793837
0.43	0.804758
0.44	0.820743
0.45	0.816186
0.46	0.798636
0.47	0.781745
0.48	0.770458
0.49	0.737599
0.5	0.686347
0.51	0.654318
0.52	0.63497
0.53	0.604186
0.54	0.55773
0.55	0.532003
0.56	0.529804
0.57	0.5248
0.58	0.516418
0.59	0.525595
0.6	0.551197
0.61	0.570619
0.62	0.560549
0.63	0.546123
0.64	0.542633
0.65	0.556019
0.66	0.56463
0.67	0.566664
0.68	0.552715
0.69	0.531428
0.7	0.515562
0.71	0.517725
0.72	0.527635
0.73	0.524752
0.74	0.511684
0.75	0.495948
0.76	0.48157
0.77	0.464128
0.78	0.449496
0.79	0.440493
0.8	0.441854
0.81	0.461216
0.82	0.484941
0.83	0.492746
0.84	0.465867
0.85	0.425301
0.86	0.381214
0.87	0.340689
0.88	0.302354
0.89	0.275015
0.9	0.268903
0.91	0.277017
0.92	0.277226
0.93	0.280484
0.94	0.292755
0.95	0.306055
0.96	0.290031
0.97	0.256611
0.98	0.236176
0.99	0.23005
